package_id,pip_name,source_id,url,domain,source_family
PIP-0171,nvidia-cudnn-jit-cu13,SRC-0034,https://docs.nvidia.com/deeplearning/cudnn/backend/latest/api/overview.html,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0171,nvidia-cudnn-jit-cu13,SRC-0040,https://docs.nvidia.com/deeplearning/cudnn/installation/latest/windows.html,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0172,cuda-python,SRC-0014,https://developer.nvidia.com/cuda/python,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0172,cuda-python,SRC-0264,https://pypi.org/project/cuda-python/,pypi.org,pypi_package_metadata
PIP-0172,cuda-python,SRC-0214,https://nvidia.github.io/cuda-python/cuda-bindings/latest/install.html,nvidia.github.io,other_project_docs
PIP-0173,cuda-toolkit,SRC-0265,https://pypi.org/project/cuda-toolkit/,pypi.org,pypi_package_metadata
PIP-0173,cuda-toolkit,SRC-0214,https://nvidia.github.io/cuda-python/cuda-bindings/latest/install.html,nvidia.github.io,other_project_docs
PIP-0174,cuda-bindings,SRC-0264,https://pypi.org/project/cuda-python/,pypi.org,pypi_package_metadata
PIP-0174,cuda-bindings,SRC-0214,https://nvidia.github.io/cuda-python/cuda-bindings/latest/install.html,nvidia.github.io,other_project_docs
PIP-0174,cuda-bindings,SRC-0014,https://developer.nvidia.com/cuda/python,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0175,cuda-core,SRC-0264,https://pypi.org/project/cuda-python/,pypi.org,pypi_package_metadata
PIP-0175,cuda-core,SRC-0014,https://developer.nvidia.com/cuda/python,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0176,cuda-pathfinder,SRC-0264,https://pypi.org/project/cuda-python/,pypi.org,pypi_package_metadata
PIP-0176,cuda-pathfinder,SRC-0214,https://nvidia.github.io/cuda-python/cuda-bindings/latest/install.html,nvidia.github.io,other_project_docs
PIP-0177,tensorrt,SRC-0045,https://docs.nvidia.com/deeplearning/tensorrt/latest/installing-tensorrt/installing.html,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0177,tensorrt,SRC-0044,https://docs.nvidia.com/deeplearning/tensorrt/latest/getting-started/support-matrix.html,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0177,tensorrt,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0177,tensorrt,SRC-0341,https://pypi.org/project/tensorrt/,pypi.org,pypi_package_metadata
PIP-0178,tensorrt-cu11,SRC-0334,https://pypi.org/project/tensorrt-cu11/,pypi.org,pypi_package_metadata
PIP-0178,tensorrt-cu11,SRC-0045,https://docs.nvidia.com/deeplearning/tensorrt/latest/installing-tensorrt/installing.html,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0178,tensorrt-cu11,SRC-0044,https://docs.nvidia.com/deeplearning/tensorrt/latest/getting-started/support-matrix.html,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0178,tensorrt-cu11,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0178,tensorrt-cu11,SRC-0341,https://pypi.org/project/tensorrt/,pypi.org,pypi_package_metadata
PIP-0179,tensorrt-cu12,SRC-0336,https://pypi.org/project/tensorrt-cu12/,pypi.org,pypi_package_metadata
