"source_path","file_name","extension","size_bytes","corpus","layer","lane_id","chapter","last_write_utc"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/EMBEDDING_AND_CHUNKING_STRATEGY.md","EMBEDDING_AND_CHUNKING_STRATEGY.md",".md","1453","aiwf_atlas","canonical_lane","04_comfyui_custom_node_ecosystem","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/GAP_AUDIT_AND_VOL2_QUEUE.md","GAP_AUDIT_AND_VOL2_QUEUE.md",".md","747","aiwf_atlas","canonical_lane","04_comfyui_custom_node_ecosystem","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/lane_profile.json","lane_profile.json",".json","990","aiwf_atlas","canonical_lane","04_comfyui_custom_node_ecosystem","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/QA_TEST_PROMPTS.md","QA_TEST_PROMPTS.md",".md","822","aiwf_atlas","canonical_lane","04_comfyui_custom_node_ecosystem","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/README_VOL1.md","README_VOL1.md",".md","1604","aiwf_atlas","canonical_lane","04_comfyui_custom_node_ecosystem","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/RETRIEVAL_CARDS.jsonl","RETRIEVAL_CARDS.jsonl",".jsonl","7952","aiwf_atlas","canonical_lane","04_comfyui_custom_node_ecosystem","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/SOURCE_COVERAGE.md","SOURCE_COVERAGE.md",".md","882","aiwf_atlas","canonical_lane","04_comfyui_custom_node_ecosystem","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/vol1_lane_manifest.json","vol1_lane_manifest.json",".json","891","aiwf_atlas","canonical_lane","04_comfyui_custom_node_ecosystem","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/04_comfyui_custom_node_ecosystem/VOL1_SCOPE.md","VOL1_SCOPE.md",".md","1061","aiwf_atlas","canonical_lane","04_comfyui_custom_node_ecosystem","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/05_pip_runtime_dependency_knowledge/CANONICAL_OVERVIEW.md","CANONICAL_OVERVIEW.md",".md","1693","aiwf_atlas","canonical_lane","05_pip_runtime_dependency_knowledge","","2026-05-21T07:12:12.0000000Z"
